,算子库,,,并行训练与推理框架,,,开源AI编译器,,深度学习框架,通信库,,,,,,,,,
,算子数量,支持芯片数量,支持框架数量,支持异构训练,接入芯片厂商数量,大模型生命周期支持程度,框架适配数量,支持芯片数量,深度学习框架,支持芯片数量,支持跨芯片通信,支持异构混训,,,,,,,
BAAI,242,10,2,1,8,4,1,13,0,11,1,1,,,,,,,
ShanghaiAILab,4,9,2,1,2,4,1,6,0,0,0,0,,,,,,,
Baidu,156,4,1,0,4,4,0,0,1,1,0,0,,,,,,,
Baichuan,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Zhipu,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Ali,0,5,2,0,1,4,0,0,1,1,0,0,,,,,,,
Huawei,0,4,1,0,1,4,0,0,1,1,0,0,,,,,,,
LMSYS,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
Falcon,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
EleutherAI,0,0,0,0,1,2,0,0,0,0,0,0,,,,,,,
Meta,211,30,1,0,30,4,0,0,1,0,0,0,,,,,,,
Google,138,23,1,0,23,4,0,0,1,1,0,0,,,,,,,
Deepseek,2,1,1,0,2,4,0,0,0,1,0,0,,,,,,,
OpenBMB,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
01-AI,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
Ai2,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
OpenAI,21,1,2,0,2,4,1,2,1,0,0,0,,,,,,,
Nvidia,3,1,2,0,2,4,0,0,0,1,0,0,,,,,,,
Microsoft,2,1,1,1,2,4,0,0,1,1,0,0,,,,,,,
Apple,0,0,0,0,1,3,0,0,1,0,0,0,,,,,,,
HuggingFace,0,0,0,0,2,4,0,0,0,0,0,0,,,,,,,
Princeton NLP,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
UKP Lab,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
Tencent,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
ByteDance,0,0,0,0,1,4,0,0,0,0,0,0,,,,,,,
